epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8346,1.60287,5.05789,1.34277,0.00316,0.94737,0.00556,0.00295,1.25068,4.22577,1.01303,0.00014,0.00014,0.00014
2,54.3827,1.25276,2.75319,0.95695,0.00333,1,0.01469,0.00707,1.17728,3.71947,0.93521,0.00029406,0.00029406,0.00029406
3,79.1436,1.22504,2.06809,0.97983,0.00333,1,0.02297,0.00932,0.92956,3.8585,0.93891,0.000441784,0.000441784,0.000441784
4,105.454,1.18945,1.87445,0.98845,0.00333,1,0.01447,0.00676,1.01076,3.78664,0.93414,0.000583172,0.000583172,0.000583172
5,131.186,1.13556,1.73395,0.9637,0.00298,0.89474,0.07738,0.04935,0.86982,3.72225,0.9249,0.000718224,0.000718224,0.000718224
6,156.473,1.11101,1.48936,0.95087,0.00263,0.78947,0.0034,0.00246,0.89892,3.74028,0.96479,0.00084694,0.00084694,0.00084694
7,182.557,1.04895,1.33386,0.95235,0.00333,1,0.11122,0.08829,0.92818,3.58107,0.98965,0.00096932,0.00096932,0.00096932
8,207.551,1.13728,1.33141,0.98552,0.00333,1,0.31754,0.2594,0.86967,3.34618,0.97051,0.00108536,0.00108536,0.00108536
9,232.051,1.04605,1.23421,0.94202,0.00333,1,0.93329,0.73827,0.8945,2.92015,0.97524,0.00119507,0.00119507,0.00119507
10,256.654,1.01186,1.25607,0.96816,1,0.62488,0.995,0.71999,0.97979,2.70634,0.98735,0.00129844,0.00129844,0.00129844
11,283.034,1.04736,1.2091,0.95708,1,0.47258,0.995,0.73959,0.95312,2.49169,1.02218,0.00139548,0.00139548,0.00139548
12,310.712,0.97277,1.2071,0.93802,1,0.99579,0.995,0.69164,1.1128,1.95498,1.0338,0.00148618,0.00148618,0.00148618
13,335.485,1.11635,1.11297,0.98126,0.9833,1,0.995,0.73071,1.02739,1.77774,1.04234,0.0015248,0.0015248,0.0015248
14,360.284,1.09167,1.06985,0.96161,0.98539,1,0.995,0.72296,1.03392,1.68278,1.04039,0.0014852,0.0014852,0.0014852
