epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,384.839,0.98592,1.07751,0.94306,0.99265,1,0.995,0.77392,1.00892,1.4698,1.00868,0.0014456,0.0014456,0.0014456
16,409.542,1.00531,1.02834,0.9232,0.99379,1,0.995,0.7441,1.00039,1.30161,0.98858,0.001406,0.001406,0.001406
17,436.218,0.99926,0.98033,0.91242,0.99466,1,0.995,0.70912,0.97361,1.20181,0.99289,0.0013664,0.0013664,0.0013664
18,461.378,0.97829,0.98543,0.93456,0.99229,1,0.995,0.74381,0.84261,1.13672,0.95852,0.0013268,0.0013268,0.0013268
19,487.596,0.89728,0.92883,0.92105,0.99231,1,0.995,0.75425,0.9594,0.99594,0.99509,0.0012872,0.0012872,0.0012872
20,512.835,0.87979,0.91908,0.9205,0.99606,1,0.995,0.78762,0.88656,0.87659,0.95238,0.0012476,0.0012476,0.0012476
21,537.633,0.91683,0.87164,0.92897,0.99616,1,0.995,0.8106,0.82151,0.83003,0.9332,0.001208,0.001208,0.001208
22,562.193,0.87791,0.84387,0.8967,0.99611,1,0.995,0.78998,0.82386,0.85238,0.94462,0.0011684,0.0011684,0.0011684
23,587.638,0.83761,0.82726,0.86964,0.99631,1,0.995,0.81403,0.78127,0.77815,0.93596,0.0011288,0.0011288,0.0011288
24,613.705,0.83281,0.77146,0.86636,0.99626,1,0.995,0.74178,0.94333,0.82338,0.9826,0.0010892,0.0010892,0.0010892
25,639.505,0.89539,0.76867,0.90462,0.99568,1,0.995,0.77418,0.85875,0.83813,0.96635,0.0010496,0.0010496,0.0010496
26,666.33,0.88416,0.76376,0.88998,0.99579,1,0.995,0.739,0.92322,0.87498,0.95279,0.00101,0.00101,0.00101
27,692.051,0.86986,0.77615,0.91661,0.99538,1,0.995,0.77221,0.93295,0.86223,0.95349,0.0009704,0.0009704,0.0009704
28,718.305,0.86286,0.75357,0.90321,0.99603,1,0.995,0.78647,0.8183,0.84279,0.9421,0.0009308,0.0009308,0.0009308
29,743.707,0.86496,0.71782,0.87169,0.99706,1,0.995,0.70735,1.01695,0.77416,0.98395,0.0008912,0.0008912,0.0008912
30,770.65,0.86796,0.72451,0.89153,0.99656,1,0.995,0.79193,0.89352,0.74875,0.96486,0.0008516,0.0008516,0.0008516
31,797.873,0.81058,0.67715,0.86737,0.99648,1,0.995,0.81708,0.77671,0.71511,0.92358,0.000812,0.000812,0.000812
32,823.804,0.83807,0.70509,0.88097,0.99708,1,0.995,0.78538,0.86613,0.74033,0.9354,0.0007724,0.0007724,0.0007724
33,848.544,0.86989,0.75531,0.91705,0.99711,1,0.995,0.80559,0.8026,0.74097,0.9413,0.0007328,0.0007328,0.0007328
34,875.192,0.86163,0.67669,0.88012,0.99712,1,0.995,0.809,0.78843,0.70027,0.94311,0.0006932,0.0006932,0.0006932
35,899.946,0.76785,0.66786,0.8537,0.99718,1,0.995,0.80591,0.79391,0.67077,0.93423,0.0006536,0.0006536,0.0006536
36,925.244,0.81781,0.67187,0.88771,0.99721,1,0.995,0.79071,0.80979,0.66906,0.94035,0.000614,0.000614,0.000614
37,950.124,0.7634,0.67377,0.84376,0.99676,1,0.995,0.79031,0.80918,0.65854,0.93827,0.0005744,0.0005744,0.0005744
38,975.295,0.80837,0.64554,0.84397,0.99648,1,0.995,0.82849,0.79228,0.66781,0.93236,0.0005348,0.0005348,0.0005348
39,1000.43,0.82908,0.65062,0.8828,0.99682,1,0.995,0.809,0.81475,0.64314,0.9404,0.0004952,0.0004952,0.0004952
40,1025.14,0.73305,0.63163,0.89371,0.99692,1,0.995,0.80961,0.79332,0.63585,0.95177,0.0004556,0.0004556,0.0004556
41,1049.64,0.70532,0.69361,0.87559,0.99677,1,0.995,0.81002,0.77981,0.61131,0.91993,0.000416,0.000416,0.000416
42,1074.7,0.69354,0.67,0.88522,0.99667,1,0.995,0.80996,0.76473,0.60799,0.91623,0.0003764,0.0003764,0.0003764
43,1101.16,0.72127,0.69881,0.87585,0.99667,1,0.995,0.81693,0.76687,0.62519,0.94823,0.0003368,0.0003368,0.0003368
44,1125.7,0.74441,0.70092,0.87115,0.99676,1,0.995,0.81321,0.79163,0.59978,0.98262,0.0002972,0.0002972,0.0002972
45,1150.7,0.79915,0.69604,0.88298,0.9967,1,0.995,0.83244,0.77272,0.6096,0.93782,0.0002576,0.0002576,0.0002576
46,1175.43,0.68853,0.6543,0.86622,0.99681,1,0.995,0.81233,0.79762,0.61198,0.93146,0.000218,0.000218,0.000218
47,1200.06,0.6628,0.63766,0.8484,0.99689,1,0.995,0.80689,0.76216,0.59929,0.9229,0.0001784,0.0001784,0.0001784
48,1225.74,0.66462,0.64084,0.87223,0.99689,1,0.995,0.80996,0.75326,0.5922,0.92,0.0001388,0.0001388,0.0001388
49,1250.47,0.65366,0.63842,0.86556,0.99682,1,0.995,0.82129,0.76868,0.57828,0.92601,9.92e-05,9.92e-05,9.92e-05
50,1277.56,0.64665,0.62119,0.86864,0.99688,1,0.995,0.83042,0.7704,0.56987,0.9284,5.96e-05,5.96e-05,5.96e-05
